record_number,year,season,district_name,mandal_name,crop,normal_area,actual_area
1,2016-2017,Kharif,Adilabad,Adilabad R,Rice,45,12
2,2016-2017,Kharif,Adilabad,Adilabad U,Rice,45,13
3,2016-2017,Kharif,Adilabad,Mavala,Rice,45,5
4,2016-2017,Kharif,Adilabad,Jainad,Rice,2,0
5,2016-2017,Kharif,Adilabad,Bela,Rice,0,3
6,2016-2017,Kharif,Adilabad,Ichoda,Rice,92,38
7,2016-2017,Kharif,Adilabad,Sirikonda,Rice,92,19
8,2016-2017,Kharif,Adilabad,Gudihathnoor,Rice,33,0
9,2016-2017,Kharif,Adilabad,Bheempur,Rice,14,0
10,2016-2017,Kharif,Adilabad,Tamsi,Rice,14,2
11,2016-2017,Kharif,Adilabad,Talamadugu,Rice,46,17
12,2016-2017,Kharif,Adilabad,Boath,Rice,23,6
13,2016-2017,Kharif,Adilabad,Bazarhathnoor,Rice,62,18
14,2016-2017,Kharif,Adilabad,Neradigonda,Rice,75,39
15,2016-2017,Kharif,Adilabad,Utnoor,Rice,577,677
16,2016-2017,Kharif,Adilabad,Inderavelly,Rice,143,67
17,2016-2017,Kharif,Adilabad,Narnoor,Rice,137,49
18,2016-2017,Kharif,Adilabad,Gadiguda,Rice,137,12
19,2016-2017,Kharif,Adilabad,Adilabad R,Jowar,1049,255
20,2016-2017,Kharif,Adilabad,Adilabad U,Jowar,0,0
21,2016-2017,Kharif,Adilabad,Mavala,Jowar,0,13
22,2016-2017,Kharif,Adilabad,Jainad,Jowar,771,10
23,2016-2017,Kharif,Adilabad,Bela,Jowar,954,322
24,2016-2017,Kharif,Adilabad,Ichoda,Jowar,989,311
25,2016-2017,Kharif,Adilabad,Sirikonda,Jowar,0,482
26,2016-2017,Kharif,Adilabad,Gudihathnoor,Jowar,848,0
27,2016-2017,Kharif,Adilabad,Bheempur,Jowar,0,187
28,2016-2017,Kharif,Adilabad,Tamsi,Jowar,1226,152
29,2016-2017,Kharif,Adilabad,Talamadugu,Jowar,592,40
30,2016-2017,Kharif,Adilabad,Boath,Jowar,309,48
31,2016-2017,Kharif,Adilabad,Bazarhathnoor,Jowar,298,27
32,2016-2017,Kharif,Adilabad,Neradigonda,Jowar,229,60
33,2016-2017,Kharif,Adilabad,Utnoor,Jowar,1263,1472
34,2016-2017,Kharif,Adilabad,Inderavelly,Jowar,1682,1027
35,2016-2017,Kharif,Adilabad,Narnoor,Jowar,1336,323
36,2016-2017,Kharif,Adilabad,Gadiguda,Jowar,1336,211
37,2016-2017,Kharif,Adilabad,Adilabad R,Maize,16,0
38,2016-2017,Kharif,Adilabad,Adilabad U,Maize,0,0
39,2016-2017,Kharif,Adilabad,Mavala,Maize,0,0
40,2016-2017,Kharif,Adilabad,Jainad,Maize,0,0
41,2016-2017,Kharif,Adilabad,Bela,Maize,0,0
42,2016-2017,Kharif,Adilabad,Ichoda,Maize,14,25
43,2016-2017,Kharif,Adilabad,Sirikonda,Maize,0,21
44,2016-2017,Kharif,Adilabad,Gudihathnoor,Maize,22,0
45,2016-2017,Kharif,Adilabad,Bheempur,Maize,0,1
46,2016-2017,Kharif,Adilabad,Tamsi,Maize,2,2
47,2016-2017,Kharif,Adilabad,Talamadugu,Maize,10,20
48,2016-2017,Kharif,Adilabad,Boath,Maize,21,23
49,2016-2017,Kharif,Adilabad,Bazarhathnoor,Maize,82,36
50,2016-2017,Kharif,Adilabad,Neradigonda,Maize,8,40
51,2016-2017,Kharif,Adilabad,Utnoor,Maize,138,230
