record_number,year,season,districtname,mandalname,crop,normalareasown,actualareasown
1,2016-2017,Kharif,Suryapet,Ananthagiri,Paddy,,2468
2,2016-2017,Kharif,Suryapet,Athmakur,Paddy,2263,2080
3,2016-2017,Kharif,Suryapet,Chilkur,Paddy,6674,6210
4,2016-2017,Kharif,Suryapet,Chinthalapalem,Paddy,,117
5,2016-2017,Kharif,Suryapet,Chivemla,Paddy,1224,1181
6,2016-2017,Kharif,Suryapet,Garidepally,Paddy,7595,9040
7,2016-2017,Kharif,Suryapet,Huzurnagar,Paddy,5793,6396
8,2016-2017,Kharif,Suryapet,Jajireddygudem,Paddy,1661,1119
9,2016-2017,Kharif,Suryapet,Kodad,Paddy,8207,4366
10,2016-2017,Kharif,Suryapet,Maddirala,Paddy,,1286
11,2016-2017,Kharif,Suryapet,Mattampally,Paddy,3619,4191
12,2016-2017,Kharif,Suryapet,Mellachervu,Paddy,2228,1562
13,2016-2017,Kharif,Suryapet,Mothey,Paddy,1925,1050
14,2016-2017,Kharif,Suryapet,Munagala,Paddy,3414,3605
15,2016-2017,Kharif,Suryapet,Nadigudem,Paddy,4112,2462
16,2016-2017,Kharif,Suryapet,Nagaram,Paddy,,1281
17,2016-2017,Kharif,Suryapet,Neredcherla,Paddy,8351,7631
18,2016-2017,Kharif,Suryapet,Nutankal,Paddy,2229,1264
19,2016-2017,Kharif,Suryapet,Palakeedu,Paddy,,3191
20,2016-2017,Kharif,Suryapet,Penpahad,Paddy,3582,2700
21,2016-2017,Kharif,Suryapet,Suryapet,Paddy,3560,2502
22,2016-2017,Kharif,Suryapet,Tirmalgiri,Paddy,1287,916
23,2016-2017,Kharif,Suryapet,Tungaturty,Paddy,1434,1166
24,2016-2017,Kharif,Suryapet,Ananthagiri,Sugarcane,,430
25,2016-2017,Kharif,Suryapet,Athmakur,Sugarcane,3,3
26,2016-2017,Kharif,Suryapet,Chilkur,Sugarcane,6,17
27,2016-2017,Kharif,Suryapet,Chinthalapalem,Sugarcane,,0
28,2016-2017,Kharif,Suryapet,Chivemla,Sugarcane,0,0
29,2016-2017,Kharif,Suryapet,Garidepally,Sugarcane,5,1
30,2016-2017,Kharif,Suryapet,Huzurnagar,Sugarcane,8,15
31,2016-2017,Kharif,Suryapet,Jajireddygudem,Sugarcane,0,0
32,2016-2017,Kharif,Suryapet,Kodad,Sugarcane,165,48
33,2016-2017,Kharif,Suryapet,Maddirala,Sugarcane,,0
34,2016-2017,Kharif,Suryapet,Mattampally,Sugarcane,3,2
35,2016-2017,Kharif,Suryapet,Mellachervu,Sugarcane,12,2
36,2016-2017,Kharif,Suryapet,Mothey,Sugarcane,3,2
37,2016-2017,Kharif,Suryapet,Munagala,Sugarcane,22,12
38,2016-2017,Kharif,Suryapet,Nadigudem,Sugarcane,351,195
39,2016-2017,Kharif,Suryapet,Nagaram,Sugarcane,,0
40,2016-2017,Kharif,Suryapet,Neredcherla,Sugarcane,6,0
41,2016-2017,Kharif,Suryapet,Nutankal,Sugarcane,0,0
42,2016-2017,Kharif,Suryapet,Palakeedu,Sugarcane,,0
43,2016-2017,Kharif,Suryapet,Penpahad,Sugarcane,6,7
44,2016-2017,Kharif,Suryapet,Suryapet,Sugarcane,16,6
45,2016-2017,Kharif,Suryapet,Tirmalgiri,Sugarcane,0,0
46,2016-2017,Kharif,Suryapet,Tungaturty,Sugarcane,0,0
47,2016-2017,Kharif,Suryapet,Ananthagiri,Chililes,,31
48,2016-2017,Kharif,Suryapet,Athmakur,Chililes,103,63
49,2016-2017,Kharif,Suryapet,Chilkur,Chililes,0,20
50,2016-2017,Kharif,Suryapet,Chinthalapalem,Chililes,,1820
51,2016-2017,Kharif,Suryapet,Chivemla,Chililes,42,295
52,2016-2017,Kharif,Suryapet,Garidepally,Chililes,1,0
53,2016-2017,Kharif,Suryapet,Huzurnagar,Chililes,165,0
54,2016-2017,Kharif,Suryapet,Jajireddygudem,Chililes,99,193
55,2016-2017,Kharif,Suryapet,Kodad,Chililes,32,68
56,2016-2017,Kharif,Suryapet,Maddirala,Chililes,,210
57,2016-2017,Kharif,Suryapet,Mattampally,Chililes,360,598
58,2016-2017,Kharif,Suryapet,Mellachervu,Chililes,1615,780
59,2016-2017,Kharif,Suryapet,Mothey,Chililes,571,1007
60,2016-2017,Kharif,Suryapet,Munagala,Chililes,46,40
61,2016-2017,Kharif,Suryapet,Nadigudem,Chililes,60,72
62,2016-2017,Kharif,Suryapet,Nagaram,Chililes,,81
63,2016-2017,Kharif,Suryapet,Neredcherla,Chililes,88,16
64,2016-2017,Kharif,Suryapet,Nutankal,Chililes,234,356
65,2016-2017,Kharif,Suryapet,Palakeedu,Chililes,,58
66,2016-2017,Kharif,Suryapet,Penpahad,Chililes,57,38
67,2016-2017,Kharif,Suryapet,Suryapet,Chililes,18,33
68,2016-2017,Kharif,Suryapet,Tirmalgiri,Chililes,15,0
69,2016-2017,Kharif,Suryapet,Tungaturty,Chililes,19,160
70,2016-2017,Kharif,Suryapet,Ananthagiri,Turemeric,,0
71,2016-2017,Kharif,Suryapet,Athmakur,Turemeric,0,
72,2016-2017,Kharif,Suryapet,Chilkur,Turemeric,0,0
73,2016-2017,Kharif,Suryapet,Chinthalapalem,Turemeric,,3
74,2016-2017,Kharif,Suryapet,Chivemla,Turemeric,0,0
75,2016-2017,Kharif,Suryapet,Garidepally,Turemeric,0,0
76,2016-2017,Kharif,Suryapet,Huzurnagar,Turemeric,0,0
77,2016-2017,Kharif,Suryapet,Jajireddygudem,Turemeric,11,0
78,2016-2017,Kharif,Suryapet,Kodad,Turemeric,0,
79,2016-2017,Kharif,Suryapet,Maddirala,Turemeric,,0
80,2016-2017,Kharif,Suryapet,Mattampally,Turemeric,0,
81,2016-2017,Kharif,Suryapet,Mellachervu,Turemeric,2,0
82,2016-2017,Kharif,Suryapet,Mothey,Turemeric,0,0
83,2016-2017,Kharif,Suryapet,Munagala,Turemeric,0,0
84,2016-2017,Kharif,Suryapet,Nadigudem,Turemeric,1,0
85,2016-2017,Kharif,Suryapet,Nagaram,Turemeric,,
86,2016-2017,Kharif,Suryapet,Neredcherla,Turemeric,0,0
87,2016-2017,Kharif,Suryapet,Nutankal,Turemeric,29,0
88,2016-2017,Kharif,Suryapet,Palakeedu,Turemeric,,0
89,2016-2017,Kharif,Suryapet,Penpahad,Turemeric,0,0
90,2016-2017,Kharif,Suryapet,Suryapet,Turemeric,0,0
91,2016-2017,Kharif,Suryapet,Tirmalgiri,Turemeric,0,0
92,2016-2017,Kharif,Suryapet,Tungaturty,Turemeric,1,0
93,2016-2017,Kharif,Suryapet,Ananthagiri,Oil palm,,3
94,2016-2017,Kharif,Suryapet,Athmakur,Oil palm,0,0
95,2016-2017,Kharif,Suryapet,Chilkur,Oil palm,0,0
96,2016-2017,Kharif,Suryapet,Chinthalapalem,Oil palm,,0
97,2016-2017,Kharif,Suryapet,Chivemla,Oil palm,0,0
98,2016-2017,Kharif,Suryapet,Garidepally,Oil palm,0,0
99,2016-2017,Kharif,Suryapet,Huzurnagar,Oil palm,6,8
100,2016-2017,Kharif,Suryapet,Jajireddygudem,Oil palm,0,0
101,2016-2017,Kharif,Suryapet,Kodad,Oil palm,16,17
102,2016-2017,Kharif,Suryapet,Maddirala,Oil palm,,0
103,2016-2017,Kharif,Suryapet,Mattampally,Oil palm,0,0
104,2016-2017,Kharif,Suryapet,Mellachervu,Oil palm,0,
105,2016-2017,Kharif,Suryapet,Mothey,Oil palm,0,0
106,2016-2017,Kharif,Suryapet,Munagala,Oil palm,11,0
107,2016-2017,Kharif,Suryapet,Nadigudem,Oil palm,32,0
108,2016-2017,Kharif,Suryapet,Nagaram,Oil palm,,
109,2016-2017,Kharif,Suryapet,Neredcherla,Oil palm,0,0
110,2016-2017,Kharif,Suryapet,Nutankal,Oil palm,0,0
111,2016-2017,Kharif,Suryapet,Palakeedu,Oil palm,,0
112,2016-2017,Kharif,Suryapet,Penpahad,Oil palm,0,0
113,2016-2017,Kharif,Suryapet,Suryapet,Oil palm,0,0
114,2016-2017,Kharif,Suryapet,Tirmalgiri,Oil palm,0,0
115,2016-2017,Kharif,Suryapet,Tungaturty,Oil palm,0,0
116,2016-2017,Kharif,Suryapet,Ananthagiri,Maize,,2
