record_number,district,mandal,village,lat,long,date,value
1,ADILABAD,Adilabad,Adilabad,19.668299,78.5247,01/02/21,8.96
2,ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,01/02/21,6.76
3,ADILABAD,Bela,Chandpally,19.684431,78.848456,01/02/21,8.21
4,ADILABAD,Bheempur,Arli,19.83196,78.37931,01/02/21,8
5,ADILABAD,Bheempur,Bheempur,19.772188,78.417841,01/02/21,7.29
6,ADILABAD,Boath,Boath,19.342416,78.316527,01/02/21,7.52
7,ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,01/02/21,15
8,ADILABAD,Jainath,Bhoraj,19.739722,78.546472,01/02/21,14.5
9,ADILABAD,Jainath,Jainath,19.730555,78.64,01/02/21,3.55
10,ADILABAD,Narnoor,Narnoor,19.495665,78.852654,01/02/21,3.54
11,ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,01/02/21,9.9
12,ADILABAD,Talamadugu,Devapur,19.612944,78.463111,01/02/21,7.3
13,ADILABAD,Talamadugu,Talamadugu,19.6334,78.396899,01/02/21,4.87
14,ADILABAD,Tamsi,Tamsi,19.6811,78.426799,01/02/21,4.48
15,ADILABAD,Utnoor,Utnoor,19.367777,78.782777,01/02/21,4.6
16,BHADRADRI,Allapalli,Allapalli,17.82975,80.475008,01/02/21,5.68
17,BHADRADRI,Allapalli,Markodu,17.91444,80.507666,01/02/21,6.54
18,BHADRADRI,Annapureddypalli,Annapureddypalli,17.355422,80.82226,01/02/21,15.02
19,BHADRADRI,Ashwapuram,Ammagaripalli,17.865166,80.85051,01/02/21,1.24
20,BHADRADRI,Ashwapuram,Aswapuram,17.847626,80.803745,01/02/21,7.06
21,BHADRADRI,Ashwapuram,Aswapuram,17.835944,80.825667,01/02/21,5.38
22,BHADRADRI,Ashwapuram,ASWARAOPET (D),17.243444,81.109888,01/02/21,32.08
23,BHADRADRI,Aswaraopet (S),Aswaraopet (S),17.244199,81.110599,01/02/21,31.58
24,BHADRADRI,Aswaraopeta,Duradapadu,17.43166,81.090311,01/02/21,6.73
25,BHADRADRI,Aswaraopeta,Gummadivalli,17.416861,81.178305,01/02/21,2.58
26,BHADRADRI,Aswaraopeta,NANDIPADU,17.455835,81.128705,01/02/21,2.47
27,BHADRADRI,Aswaraopeta,Vinayakapuram,17.34561,81.12147,01/02/21,7.36
28,BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,01/02/21,3.58
29,BHADRADRI,Burgampad,Krishnasagar,17.709524,80.811524,01/02/21,6.02
30,BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,01/02/21,8.23
31,BHADRADRI,Chandrugonda,Cherla,18.07449,80.83124,01/02/21,3.99
32,BHADRADRI,Chandrugonda,Maddukuru,17.356111,80.675527,01/02/21,19.49
33,BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,01/02/21,6.92
34,BHADRADRI,Cherla,Chinmedisileru,18.061388,80.853833,01/02/21,8.88
35,BHADRADRI,Chunchupalli,Chunchupalli,17.536377,80.612734,01/02/21,4.18
36,BHADRADRI,Dammapeta,Malkaram,17.310587,81.038879,01/02/21,12.13
37,BHADRADRI,Dammapeta,Mandalapalli,17.235972,81.008986,01/02/21,40.57
38,BHADRADRI,Dammapeta,Patwarigudem,17.346638,80.9629722,01/02/21,18.22
39,BHADRADRI,Dummugudem,Bandirevu,17.921194,80.9155,01/02/21,2.63
40,BHADRADRI,Dummugudem,Dummugudem,17.8523,80.8937,01/02/21,2.42
41,BHADRADRI,Gundala,Gundala,17.906,80.33055,01/02/21,3.64
42,BHADRADRI,Gundala,Kanchanapalli,17.792225,80.42243,01/02/21,1.73
43,BHADRADRI,Gundala,Mamakannu,17.865819,80.412727,01/02/21,6.12
44,BHADRADRI,Gundala,Sainapalli,17.95777,80.34505,01/02/21,4.82
