Districts,VILLAGE NAME,AREA Sq.mts,SITE AREA ACRES
Adilabad,Khanapur,4063.834,1.329
Adilabad,Nirmal,1877.641,0.976
Adilabad,Sirpur-T,2471.968,1.017
Adilabad,Bellampally,1965.03,15.79
Adilabad,Mudhole,1348.948,1.979
Adilabad,Boath,1769.678,1.314
Adilabad,Chennur,1645.887,1.356
Adilabad,Luxetipet,1323.178,0.557
Adilabad,Tiryani,1700.44,1.718
Adilabad,Kadem,1711.262,0.739
Nizambad,Kotagiri,4115.41,1.02
Nizambad,Varni,8366.3,2.067
Nizambad,Velpur,7518.43,1.857
Nizambad,Balkonda,11092.44,2.74
Nizambad,Bichukonda,5201.64,1.285
Nizambad,Dharpally,18661.77,4.611
Nizambad,Dichpally,5261.87,1.3
Nizambad,Domakonda,6565.34,1.622
Nizambad,Gandhari,26137.56,6.45
Nizambad,Madnoor,15458.89,3.81
Nizambad,Orthad,4115.4,1.016
Nizambad,Pitlam,9307.68,2.299
Karimnagar,Metpally,2773.668,2.237
Karimnagar,Peddapally,4007.037,4.402
Karimnagar,Mahadevpur,3240.531,5.146
Karimnagar,Manthani,1770.361,0.82
Karimnagar,Jammikunta,3144.43,4.606
Karimnagar,Sulthanabad,804.387,2.037
Karimnagar,Korutla,2357.365,0.938
Karimnagar,Kamalapur,1780.73,1.954
Karimnagar,Srirampur,1544.957,2.239
Karimnagar,Dhramapuri,2507.009,1.706
Karimnagar,Husnabad,3322.269,3.802
Karimnagar,Huzurabad,2654.27,2.355
Medak,Ramayampet,978.28,1.94
Medak,Koheer,1088.88,2.54
Warangal,Cheriyal,1009.81,0.62
Warangal,Eturunagaram,3051.64,7.58
Warangal,Mulugu,1403.38,2.33
Warangal,Narsampet,2635.64,1.2
Warangal,Parkal,692.77,1.85
Warangal,Wardhannapet,1560.22,1.44
Rangareddy,Marpally,2292.52,3.26
Rangareddy,Rajendranagar,524.24,0.77
Rangareddy,Chevalla,1049.06,1.48
Rangareddy,Hayathnagar,933.72,1.37
Rangareddy,Maheshwaram,1204.09,2.02
Rangareddy,Ghatkesar,2988.97,0.97
Rangareddy,Parigi,969.51,3.69
Rangareddy,Ibrahimpatnam,1658.57,2.07
Rangareddy,Shamshabad,299.17,0.48
Rangareddy,Medchal,780.19,1.16
Mahaboobnagar,Achampet,1803.28,1.614
Mahaboobnagar,Alampur,943.34,4.778
Mahaboobnagar,Amrabad,2287.55,2.0
Mahaboobnagar,Atmakur,1505.98,1.12
Mahaboobnagar,Jadcherla,1610.92,1.192
Mahaboobnagar,Kalwakurthy,2465.87,2.29
Mahaboobnagar,Koailkonda,241.69,0.34
Mahaboobnagar,Kodangal,891.34,1.96
Mahaboobnagar,Kollapur,880.65,1.1822
Mahaboobnagar,Kosigi,539.43,1.02
Mahaboobnagar,Mannanoor(T),252.72,1.1491
Mahaboobnagar,Mathkal,987.14,1.12
Mahaboobnagar,Revally,2766.48,1.83
Mahaboobnagar,Shadnagar,3909.72,1.24
Nalgonda,Kodada,1805.46,1.62
Nalgonda,Nakrekal,1864.52,1.97
Nalgonda,Choutuppal,2512.19,3.03
Nalgonda,Alair,1373.26,2.45
Nalgonda,Marriguda,1713.76,5.13
Nalgonda,Nadigedum,631.75,2.33
Nalgonda,Thungathurthy,1746.03,4.83
