Districts,VILLAGE NAME,AREA Sq.mts,SITE AREA ACRES
Adilabad,Basara,369.591,0.416
Adilabad,Lohesra,335.768,0.331
Adilabad,Tanur,289.819,0.561
Adilabad,Kuntala,319.769,0.585
Adilabad,Kubeer,680.781,1.582
Adilabad,Sarangapur,3905.856,0.965
Adilabad,Mujigi,244.754,0.787
Adilabad,Dilwarpur,2519.057,0.622
Adilabad,Soan,313.333,0.622
Adilabad,Velmalboparam,251.427,0.647
Adilabad,Lamanchanda,621.397,1.576
Adilabad,Mamada,354.736,0.916
Adilabad,Pembi,998.701,1.079
Adilabad,Dasturabad,262.921,1.541
Adilabad,Jannaram,510.838,1.981
Adilabad,Tallapet,243.125,0.242
Adilabad,Dandepally,373.39,0.679
Adilabad,Venkatraopet,330.996,1.187
Adilabad,Hajipur,303.356,1.597
Adilabad,Naspur,239.999,0.326
Adilabad,Mandamarri,604.677,2.131
Adilabad,Kasipet,1171.398,2.131
Adilabad,Tandur,335.42,2.518
Adilabad,Rebbena,3093.591,0.765
Adilabad,Nennela,366.355,0.739
Adilabad,Tallagurjala,320.542,0.543
Adilabad,Bheemini,369.247,0.876
Adilabad,Dahegoan,369.028,0.927
Adilabad,Jaipur,312.282,0.908
Adilabad,Kundaram,2286.356,3.043
Adilabad,Angarajpally,223.757,1.466
Adilabad,Kotpally,358.4,0.845
Adilabad,Vempally,339.243,2.172
Adilabad,Penchikalpet,257.663,1.154
Adilabad,Bejjur,353.326,0.928
Adilabad,Babapur Ghanapur,56.947,0.046
Adilabad,Kowtala,1039.824,1.7
Adilabad,Loanvally,243.168,0.258
Adilabad,Kagaznagar,1011.33,1.636
Adilabad,Batvally,308.881,0.338
Adilabad,Isgoan,559.724,1.945
Adilabad,Wankidi,1324.258,5.321
Adilabad,Ada,251.579,0.843
Adilabad,Ginnadari,260.479,1.57
Adilabad,Roampally,235.049,0.654
Adilabad,Kerameri,432.208,0.698
Adilabad,Sirpur-U,343.448,0.769
Adilabad,Lingapur,247.772,0.691
Adilabad,Ushagoan,312.64,0.683
Adilabad,Narnoor,562.847,0.927
Adilabad,Jhari,246.042,0.57
Adilabad,Gadiguda,256.883,0.684
Adilabad,Hasnapur,291.523,0.661
Adilabad,Dantanpally,351.23,0.627
Adilabad,Shampur,306.023,0.3
Adilabad,Narsapur-T,244.754,0.659
Adilabad,Ichoda,576.792,0.647
Adilabad,Sonala,477.245,0.781
Adilabad,Bazarhathnoor,821.044,1.57
Adilabad,Gudihatnoor,337.637,1.012
Adilabad,Indervelly,317.275,0.768
Adilabad,Pittabongaram,243.959,0.44
Adilabad,Talamadugu,340.4,0.319
Adilabad,Tamsi,250.859,0.635
Adilabad,Bheempur-T,315.025,0.872
Adilabad,Gimma,252.397,0.581
Adilabad,Jainath,308.405,0.84
Adilabad,Bela,312.676,0.97
Adilabad,Sydpur,186.794,0.819
Adilabad,Ankoli,344.42,1.187
Adilabad,Mahagoan,284.898,0.52
Nizambad,Birkur,3591.26,0.89
Nizambad,Potangal,2839.48,0.7
Nizambad,Rudrur,4972.93,1.23
Nizambad,Annaram,4966.32,1.23
Nizambad,Bheemgal,3494.45,0.863
Nizambad,Bhikhnur,12765.17,3.154
Nizambad,Bibipet,5951.38,1.47
Nizambad,Binola,3038.48,0.75
Nizambad,Choutpally,3714.08,0.92
Nizambad,Devgoan,10678.73,2.64
Nizambad,Devunipalle,9493.95,2.35
Nizambad,Dongli,8645.44,2.14
Nizambad,Donkeshwar,4200.36,1.04
Nizambad,Govindpet,9431.45,2.33
Nizambad,Hanmajipet,7129.67,1.761
Nizambad,Indalwai,1551.44,0.383
Nizambad,Jakranpalli,8366.37,2.067
Nizambad,Jukkal,5315.94,1.313
Nizambad,Kalladi,4966.32,1.227
Nizambad,Kammarpally,2635.31,0.65
Nizambad,Kisan Nagar,10586.82,2.616
Nizambad,Lingampet,2614.59,0.65
Nizambad,Machareddy,4438.06,1.1
Nizambad,Makloor,2654.8,0.66
Nizambad,Mathmal,8254.21,2.04
Nizambad,Mindora,6259.35,1.546
Nizambad,Mosra,2012.74,0.5
Nizambad,Muchkoor,456.12,0.11
Nizambad,Mudakpally,4966.33,1.23
Nizambad,Nagireddypet,4171.67,1.03
Nizambad,Nandipet,2635.31,0.65
Nizambad,Nizamsagar,4171.67,1.03
Nizambad,Pegadapally,6880.36,1.7
Nizambad,Pochampahad,11978.26,2.96
Nizambad,Pulkal,8529.52,2.11
Nizambad,Rajampet,8798.55,2.17
Nizambad,Ramareddy,3651.05,0.9
Nizambad,Renzal,7728.17,1.91
Nizambad,Sadashivanagar,8296.82,2.05
Nizambad,Saloora,9077.46,2.24
Nizambad,Sirikonda,6340.46,1.57
Nizambad,Thirmanpally,9098.16,2.25
Nizambad,Uthnoor,7365.5,1.82
Nizambad,Yedapally,4460.72,1.102
Nizambad,Yergatla,3038.49,0.75
Nizambad,Yerrapahad,9203.02,2.27
Karimnagar,Akkannapet,314.554,0.565
Karimnagar,Ambadipally,345.561,0.398
Karimnagar,Ambaripet (K),939.943,1.672
Karimnagar,Basnathnagar,874.489,2.09
Karimnagar,Begumpet,323.89,0.205
Karimnagar,Bejjanki,346.186,0.568
Karimnagar,Boinpally,248.977,0.48
Karimnagar,Challur,318.129,0.512
Karimnagar,Chamanpally,306.564,0.234
Karimnagar,Chandurthi,1172.902,2.059
Karimnagar,Cheerlavancha,257.543,0.842
Karimnagar,Chigurumamidi,373.477,0.659
Karimnagar,Choppadandi,934.586,0.724
Karimnagar,Daroor Camp,316.109,0.873
Karimnagar,Eligadu,242.38,1.655
Karimnagar,Elkathurthi,235.835,0.964
Karimnagar,Ellanthakunta,766.249,1.857
Karimnagar,Ellanthakunta (Vavilala),766.249,1.857
Karimnagar,Gaddalapally Mutharam,241.559,1.295
Karimnagar,Gambhiraopet,1130.149,2.382
Karimnagar,Gangadhara,501.943,0.828
Karimnagar,Garripally,281.199,2.83
Karimnagar,Golapally,293.9,0.875
Karimnagar,Gopalpur,254.3,0.683
Karimnagar,Gumlapur,314.439,0.273
Karimnagar,Gundi,1423.04,2.326
Karimnagar,Hanmajipet,320.859,0.464
Karimnagar,Ibrahimpatnam,486.845,1.293
Karimnagar,Ilapur,239.712,1.059
Karimnagar,Jaggasagar,278.028,0.967
Karimnagar,Jullapally,263.957,0.474
Karimnagar,Kalleda,235.149,1.472
Karimnagar,Kataram,287.347,2.502
Karimnagar,Kathalapur,343.853,0.731
Karimnagar,Keshavapatnam,259.363,0.887
Karimnagar,Kodimyal,312.919,0.574
Karimnagar,New Kodurupaka,274.782,0.457
Karimnagar,Koheda,280.116,0.599
Karimnagar,Kolanoor,594.422,1.504
Karimnagar,Konaraopet,324.042,0.987
