Districts,VILLAGE NAME,AREA Sq.mts,SITE AREA ACRES
Adilabad,Hamaliwada,199.52,0.227
Adilabad,Shantinagar,118.364,0.206
Adilabad,Kurshidnagar,191.419,0.16
Adilabad,Putlibowli,207.3,0.106
Adilabad,Laxminagar,31.305,0.02
Adilabad,Bangalpet,191.304,0.207
Adilabad,Ramnagar,192.6,0.166
Adilabad,Deepaknagar,196.53,0.397
Adilabad,Shamsheernagar,198.978,0.358
Adilabad,Sirsilk Colony,200.268,0.137
Adilabad,Navegoan Basti,199.435,0.217
Nizambad,Oldtownnearpostoffice,427.53,0.11
Nizambad,Rakasipet,918.0,0.23
Nizambad,Arsapally,576.5,0.14
Nizambad,Chandrashekarcolony,442.62,0.11
Nizambad,Dubba,711.08,0.18
Nizambad,Gouthamnagar,725.63,0.18
Nizambad,Malapally,442.62,0.11
Nizambad,Rajeevanagar Colony,721.31,0.18
Nizambad,Seetharamnagar,349.3,0.09
Nizambad,Vinayaknagar,403.02,0.1
Karimnagar,Buttirajaram Colony,201.789,0.206
Karimnagar,Mohtazkhana,201.788,0.113
Karimnagar,Jangoan,200.558,0.421
Karimnagar,Laxipur,200.558,0.279
Karimnagar,Addaguntalpalli,194.916,0.158
Karimnagar,Khillagadda,197.918,0.162
Karimnagar,Shanthinagar,201.303,0.13
Karimnagar,Ps Nagar,198.426,0.254
Warangal,Bodagutta,197.29,0.22
Warangal,Chintal,201.6,0.23
Warangal,Desaipet,201.6,0.15
Warangal,Khilla Warangal,201.6,0.18
Warangal,Keerthinagar,201.6,0.2
Warangal,Laskar Singaram,197.29,0.22
Warangal,Peddammagadda,181.2,0.18
Warangal,Shayampet,192.0,0.13
Warangal,Somidi,201.6,0.11
Rangareddy,Quthbullapur,1068.36,0.26
Rangareddy,Mailardevulapally,2966.32,0.73
Rangareddy,Malapur,457.17,0.77
Rangareddy,Venkatreddynagar,449.35,0.268
Rangareddy,Shapur Nagar,455.34,0.264
Rangareddy,Mansoorabad,455.34,0.533
Rangareddy,Hafeezpet,455.34,0.47
Rangareddy,Sivarampally,18.11,0.0044
Rangareddy,Hassan Nagar,52.87,0.013
Rangareddy,Vinayak Nagar,455.34,0.32
Rangareddy,Parvath Nagar,455.34,0.27
Mahaboobnagar,Kumarwadi,205.67,0.13
Mahaboobnagar,Wanaprathy Urban 1,183.46,0.137
Mahaboobnagar,Wanaprathy Urban 2,183.46,0.172
Nalgonda,Ambedkar Nagar,191.52,0.19
Nalgonda,Giri Nagar,192.47,0.24
Nalgonda,Kasarabad,191.07,0.2
Nalgonda,Line Wada,190.0,0.11
Nalgonda,Panagal,192.68,0.19
Khammam,Mamillagudem,198.64,0.15
Khammam,Mustafanagar,216.33,0.113
Khammam,Srinivasanagar,198.19,0.09
