Districts,Houses Allotted,Houses Allotted Rural,Houses Allotted Urban,Houses Sanctioned
ADILABAD,1510,850,660,610
BHADRADRI,2140,1340,800,2140
HYDERABAD,800,480,320,400
JAGTIAL ,6000,0,6000,7607
JANGAON ,1415,1095,320,1415
JAYASHANKAR ,966,966,0,966
JOGULAMBA ,3077,2277,800,677
KAMAREDDY ,2675,2475,200,2675
KARIMNAGAR ,1462,1142,320,1462
KHAMMAM ,3700,1700,2000,3700
KOMARAM BHEEM ,750,590,160,750
MAHABUBABAD,4440,1660,2780,3640
MAHABUBNAGAR,1369,1369,0,1369
MANCHERIAL ,1530,800,730,1530
MEDAK ,1986,1436,550,1756
MEDCHAL,2650,890,1760,1334
NAGARKURNOOL ,2000,1160,840,1200
NALGONDA ,2400,1920,480,2000
NIRMAL ,960,640,320,778
NIZAMABAD ,4990,3030,1960,4990
PEDDAPALLI ,1003,683,320,1003
RAJANNA ,2270,1010,1260,2270
RANGAREDDY ,3060,1720,1340,2706
SANGAREDDY ,1900,1420,480,1900
SIDDIPET ,8679,4149,4530,6884
SURYAPET ,1600,1120,480,1200
VIKARABAD ,1800,880,920,1400
WANAPARTHY ,400,240,160,200
WARANGAL (R) ,1605,1605,0,805
WARANGAL (U),2659,475,2184,2259
YADADRI ,800,640,160,800
