District,Four Lane Roads,Double Lane Roads,Intermediate Lane Roads,Single Lane Roads
STATE,648,7419,527,16357
ADILABAD,6,107,24,366
BHADRADRI,101,412,2,419
HYDERABAD,0,119,0,0
JAGTIAL ,0,93,19,571
JANGAON ,2,149,3,487
JAYASHANKAR ,4,108,4,461
JOGULAMBA ,10,181,34,221
KAMAREDDY ,12,250,3,646
KARIMNAGAR ,14,267,0,530
KHAMMAM ,49,265,2,968
KOMARAM BHEEM ,12,412,22,584
MAHABUBABAD,4,303,0,263
MAHABUBNAGAR,14,451,25,463
MANCHERIAL ,18,315,6,598
MEDAK ,17,268,4,517
MEDCHAL,33,80,21,37
NAGARKURNOOL ,10,335,72,719
NALGONDA ,99,271,17,608
NIRMAL ,10,424,31,669
NIZAMABAD ,56,406,22,792
PEDDAPALLI ,4,57,15,379
RAJANNA ,18,155,31,522
RANGAREDDY ,42,306,17,660
SANGAREDDY ,9,185,3,635
SIDDIPET ,37,347,25,1244
SURYAPET ,13,295,25,700
VIKARABAD ,13,241,28,514
WANAPARTHY ,5,157,11,407
WARANGAL (R) ,2,41,3,240
WARANGAL (U),24,213,37,585
YADADRI ,11,325,20,552
