record_number,date,rain_mm,avg_temp,avg_humidity,avg_wind_speed
1,01-Apr-21,0.0,33.15,19.7,5.15
2,02-Apr-21,0.0,31.950000000000003,18.65,5.6
3,03-Apr-21,0.0,30.549999999999997,23.9,4.7
4,04-Apr-21,0.0,30.6,18.55,3.15
5,05-Apr-21,0.0,31.400000000000002,27.200000000000003,3.15
6,06-Apr-21,0.0,32.05,45.7,3.3499999999999996
7,07-Apr-21,0.0,31.35,43.0,2.1
8,08-Apr-21,0.0,32.85,31.900000000000002,1.8
9,09-Apr-21,0.0,33.349999999999994,31.0,6.6
10,10-Apr-21,0.0,32.45,42.0,4.75
11,11-Apr-21,0.8,30.599999999999998,57.95,10.7
12,12-Apr-21,0.0,27.299999999999997,64.05,0.9
13,13-Apr-21,0.0,29.85,37.3,1.55
14,14-Apr-21,0.0,29.35,52.3,2.4
15,15-Apr-21,0.0,28.55,50.300000000000004,6.65
16,16-Apr-21,0.0,28.950000000000003,43.95,15.05
17,17-Apr-21,0.0,31.85,38.7,1.85
18,18-Apr-21,0.0,31.450000000000003,36.2,3.25
19,19-Apr-21,0.0,33.8,36.95,6.050000000000001
20,20-Apr-21,0.0,32.650000000000006,32.9,1.0
21,21-Apr-21,0.0,34.15,41.65,5.35
22,22-Apr-21,0.0,31.700000000000003,49.150000000000006,2.45
23,23-Apr-21,0.0,31.799999999999997,38.25,2.85
24,24-Apr-21,0.0,32.0,35.15,3.05
25,25-Apr-21,0.0,31.9,27.95,4.3
26,26-Apr-21,0.0,35.1,30.25,1.25
27,27-Apr-21,0.0,31.85,35.65,1.8
28,28-Apr-21,0.0,33.25,28.6,2.9
29,29-Apr-21,0.0,32.7,26.5,2.1999999999999997
30,30-Apr-21,0.0,33.5,33.75,2.6
31,01-Apr-21,0.0,32.900000000000006,31.0,1.55
32,02-Apr-21,0.0,33.25,24.8,1.9
33,03-Apr-21,0.0,30.6,20.8,5.3
34,04-Apr-21,0.0,30.15,17.900000000000002,1.7
35,05-Apr-21,0.0,31.95,24.5,4.05
36,06-Apr-21,0.0,32.15,40.1,2.95
37,07-Apr-21,0.0,34.55,40.3,3.35
38,08-Apr-21,0.0,34.2,34.6,1.85
39,09-Apr-21,0.0,33.95,32.1,4.4
40,10-Apr-21,0.0,33.9,38.050000000000004,2.75
41,11-Apr-21,4.4,30.65,51.25,5.7
42,12-Apr-21,0.0,27.65,63.599999999999994,2.2
43,13-Apr-21,0.0,31.95,44.0,2.65
44,14-Apr-21,3.5,31.049999999999997,44.75,2.55
45,15-Apr-21,0.0,29.85,49.3,2.95
46,16-Apr-21,0.0,29.1,42.949999999999996,2.9
47,17-Apr-21,0.0,32.5,34.45,3.1
48,18-Apr-21,0.0,32.15,34.85,3.05
49,19-Apr-21,0.0,34.55,32.800000000000004,2.0
50,20-Apr-21,0.0,33.9,28.2,1.9
51,21-Apr-21,0.0,35.0,37.9,3.9
52,22-Apr-21,0.0,33.0,38.199999999999996,2.75
53,23-Apr-21,0.0,32.1,35.0,2.1
54,24-Apr-21,0.0,31.8,34.65,2.0
55,25-Apr-21,0.0,33.05,26.15,2.85
56,26-Apr-21,0.0,35.55,31.8,2.75
57,27-Apr-21,2.5,33.85,37.4,4.9
58,28-Apr-21,0.0,34.3,31.45,2.8
59,29-Apr-21,0.0,33.75,32.15,2.45
60,30-Apr-21,0.0,35.65,36.6,4.15
61,01-Apr-21,0.0,31.5,31.5,5.8
62,02-Apr-21,0.0,31.25,26.65,8.5
63,03-Apr-21,0.0,30.349999999999998,31.05,4.95
64,04-Apr-21,0.0,30.9,35.55,5.4
65,05-Apr-21,0.0,30.55,38.5,6.25
66,06-Apr-21,0.0,31.2,44.25,5.3
67,07-Apr-21,0.0,31.95,48.949999999999996,7.25
68,08-Apr-21,0.0,31.0,41.599999999999994,4.4
69,09-Apr-21,0.0,29.8,41.15,7.45
70,10-Apr-21,0.0,30.549999999999997,48.1,7.7
71,11-Apr-21,0.0,29.9,52.900000000000006,8.05
72,12-Apr-21,0.0,26.299999999999997,65.5,5.55
73,13-Apr-21,0.0,29.05,48.45,5.45
74,14-Apr-21,0.0,29.3,51.25,11.15
75,15-Apr-21,0.7,27.25,51.699999999999996,9.65
76,16-Apr-21,0.0,27.799999999999997,43.5,3.95
77,17-Apr-21,0.0,28.35,43.35,5.95
78,18-Apr-21,0.0,29.7,42.5,5.55
79,19-Apr-21,0.0,31.599999999999998,36.75,5.6499999999999995
80,20-Apr-21,0.0,32.05,32.75,5.5
81,21-Apr-21,0.0,32.400000000000006,43.4,9.35
82,22-Apr-21,0.0,29.15,45.15,6.75
83,23-Apr-21,0.0,30.35,38.0,4.35
84,24-Apr-21,0.0,28.5,38.1,4.55
85,25-Apr-21,0.0,29.85,37.05,5.699999999999999
86,26-Apr-21,0.0,34.7,30.849999999999998,4.75
87,27-Apr-21,1.3,31.7,40.5,9.55
88,28-Apr-21,0.0,31.450000000000003,36.65,6.55
